,lambda_all,alpha_all,weight_1_all,alpha_1_all,alpha_2_all,alpha_me_all,rmse_all,lambda_monthly,alpha_monthly,weight_1_monthly,alpha_1_monthly,alpha_2_monthly,alpha_me_monthly,rmse_monthly,lambda_seasonal,alpha_seasonal,weight_1_seasonal,alpha_1_seasonal,alpha_2_seasonal,alpha_me_seasonal,rmse_seasonal
02236350,0.22225124053277617,15.966135,0.9541794932937818,16.534954605174555,0.44892320919159756,15.797884495718481,3.7550834746297217,"[0.26246334 0.26468222 0.26026393 0.23560606 0.28519062 0.61136364
 0.67521994 0.69501466 0.53409091 0.28958944 0.24545455 0.24538064]","[ 8.18448067  8.22318268 10.74274826  9.4880991   9.78973675 11.75027847
  9.49079514  9.36640167 10.34319687  8.02770615  8.25091362  8.6327343 ]","[0.7        0.7        0.7        0.7        0.80843799 0.99
 0.83117773 0.7        0.77008762 0.7        0.7        0.7       ]","[ 9.26693924  9.29963195 12.19275373 10.2290066  10.20090117 11.75027847
  9.49079514  9.36640167 11.88390233  9.12305851  9.87646569 10.34847029]","[ 6.54758453  6.57854614  8.59419861  7.59047928  7.8317894  11.75027847
  9.49079514  9.36640167  8.2745575   6.42216492  6.60073639  6.90618744]","[ 7.36339095  7.39487189  9.67376514  8.38203748  8.2856212  11.75027847
  9.49079514  9.36640167  9.10439056  7.232433    7.58345518  7.9388723 ]","[2.5785075  2.94293645 2.74674296 1.91472646 1.1307203  1.99984367
 1.40738254 0.76474063 6.83185832 3.77010368 6.74952767 4.72852691]",[0.26240242 0.37637363 0.63586957 0.26034184],[ 9.06827927 10.77735996  9.67844868  8.28763771],[0.7  0.7  0.99 0.7 ],[10.4378976  10.77735996  9.67844868  9.75750257],[ 7.25462341 10.77735996  8.50965051  6.63011017],[ 8.20960567 10.77735996  8.52133849  7.56832789],[2.566374   1.01144067 3.48695107 4.78057673]
02237734,0.21224609949955844,17.248959,0.9900989196617467,17.248958587646484,0.2107828860953273,17.080262241208153,4.685773508358847,"[0.24853372 0.25824618 0.23900293 0.21818182 0.26099707 0.55606061
 0.60483871 0.59824047 0.47651515 0.27419355 0.25       0.22616408]","[ 9.25692844  9.28137589 12.86759758 10.74186897 11.15137863 11.87279987
 10.23497677 10.29335213 10.88305283  9.00281334  8.17469788  9.24840927]","[0.7        0.7        0.70365473 0.74603562 0.7        0.99
 0.74547031 0.7        0.7        0.71907114 0.76363393 0.7       ]","[10.30559727 10.00285863 13.75663608 11.64042544 12.83876415 11.87279987
 10.23497677 10.29335213 12.10749974 10.00526105  9.35329413 10.69216446]","[ 7.40554276  7.42510071 10.29407806  8.59349518  8.92110291 11.87149616
 10.23497677 10.29335213  8.70644226  7.20225067  6.5397583   7.39872742]","[ 8.27555911  8.19842808 11.32019076  9.36730693 10.09640128 11.8715092
 10.23497677 10.29335213  9.72675951  7.98969717  7.20478271  8.38675853]","[2.44324375 1.46978051 2.19927466 2.77475546 1.85177881 2.25092942
 1.7341361  3.59311092 6.82598766 2.37730478 6.23892744 3.33523743]",[0.24830018 0.34415584 0.56077075 0.25018578],[10.4586792  11.45006084 10.43553734  8.80664921],[0.72785126 0.99       0.97950732 0.7       ],[11.98682599 11.45006084 10.43553734 10.08950423],[ 8.36694336 11.45006084  9.90460386  7.04533791],[ 9.35208986 11.45006084  9.9154841   7.9585878 ],[1.51096503 1.47991285 4.03448158 3.70667409]
02236500,0.21952291964383863,16.719965,0.9528394709543071,17.57430494546811,0.3173303277238635,16.760456892767195,3.080199645819649,"[0.26246334 0.26387772 0.26026393 0.23560606 0.28519062 0.61136364
 0.67375367 0.69501466 0.53333333 0.28958944 0.24545455 0.24538064]","[ 8.18829632  8.24875164 10.74842262  9.48540211  9.79507351 11.75046253
  9.50710392  9.36571407 10.35115337  8.02729702  8.25578594  8.63555813]","[0.7        0.7        0.7        0.76210076 0.70982477 0.99
 0.80120584 0.7        0.7        0.7        0.7        0.7       ]","[ 9.37085807  9.59886022 12.7260938  10.7358918  10.49592608 11.75046253
  9.50735019  9.36623362 11.53522129  8.96929356  9.96621316 10.3166758 ]","[ 6.55063705  6.59900131  8.5987381   7.58832169  7.83605881 11.75046253
  9.5070411   9.36571407  8.2809227   6.42183762  6.60462875  6.9084465 ]","[ 7.39670336  7.49895898  9.83694481  8.33712621  8.60788641 11.75046253
  9.50710254  9.36586994  9.25721228  7.1860744   7.61310408  7.93091529]","[2.51766369 2.77862715 2.44634004 1.61826273 1.12278047 1.99100733
 1.42277619 0.75875597 6.96279928 3.83758711 6.74536861 4.75668068]",[0.26215059 0.37637363 0.63512846 0.26034184],[ 9.08039474 10.7782793   9.68609047  8.28987789],[0.7  0.7  0.99 0.7 ],[10.37252505 10.7793117   9.68609047  9.71240079],[ 7.2643158  10.7782793   8.57250362  6.63190231],[ 8.19677857 10.77858902  8.58363949  7.55605186],[2.6044905  1.00337679 3.4959319  4.82089598]
02236605,0.2021989348909122,17.6478,0.9928619109557563,17.751520276741886,0.22877377661353315,17.62644135192426,2.443493486483336,"[0.22214076 0.2300885  0.22360704 0.19393939 0.23240469 0.525
 0.56818182 0.57771261 0.4280303  0.23826979 0.20681818 0.19881744]","[10.11650944  9.54386902 12.83291245 11.23096657 11.94539261 13.52387142
 10.96640587 11.22994423 12.09383106  9.33864498  9.73159695 10.88387012]","[0.7577547  0.7        0.73837559 0.7319629  0.94299486 0.78704176
 0.99       0.99       0.7        0.70000007 0.7        0.7       ]","[10.998701   10.09314077 14.55902058 12.19258801 11.94539261 13.52387142
 10.96640587 11.22994423 14.19286807 10.46493204 11.07450487 13.25965159]","[ 8.09320755  7.91639633 10.26632996  8.98477325 11.94403502 13.52387142
 10.96640587 11.22994423  9.67506485  7.47091599  7.78527756  8.7070961 ]","[ 8.79704969  8.56941966 11.3894026   9.84458662 11.94411241 13.52387142
 10.96640587 11.22994423 11.03040582  8.36912059  8.77204575 10.07286275]","[2.37744875 2.63672881 1.59262948 1.15608528 0.58365705 1.80257706
 1.75146164 1.07367051 7.11621606 3.55143902 9.77627087 4.47846331]",[0.22513221 0.31618382 0.5256917  0.21476344],[10.86005306 12.66497612 11.36333561  9.94180584],[0.7  0.99 0.7  0.7 ],[11.49816866 12.66497612 11.61411886 11.62027411],[ 8.68804245 12.66497612 10.62572163  7.95344467],[ 9.53108031 12.66497612 10.9222408   9.0534935 ],[2.26368765 1.03047352 3.58846324 5.71689902]
02236700,0.16558741905642924,18.818169,0.9407480196098078,19.92289900703014,1.6192203891084216,18.838369800492664,2.374523326634794,"[0.22214076 0.2300885  0.22360704 0.19393939 0.23240469 0.525
 0.56818182 0.57771261 0.4280303  0.23826979 0.20681818 0.19881744]","[10.11650944  9.54386902 12.83291245 11.23096657 11.94539261 13.52387142
 10.96640587 11.22994423 12.09383106  9.33864498  9.73159695 10.88387012]","[0.72677673 0.7        0.74025055 0.7        0.88226375 0.7
 0.7        0.7        0.72591281 0.70000018 0.70034254 0.7       ]","[11.33474428 10.62257534 13.51898267 12.23377825 11.94539261 13.52387142
 10.96640587 11.22994423 12.49582293 10.04518835 11.65730533 12.5580547 ]","[ 8.09320755  7.63509521 10.59637372  8.98477325 11.94539261 13.52387142
 10.96640587 11.22994423  9.67506485  7.47091599  7.78527756  8.7070961 ]","[ 8.97887083  8.53133925 11.35551978  9.95947475 11.94539261 13.52387142
 10.96640587 11.22994423 10.44819849  8.24319723  8.94555957  9.86238368]","[2.23476565 2.35567941 2.15108327 1.17156355 0.58366717 1.80257706
 1.75146164 1.07367051 7.56046847 3.79860097 9.49378204 4.84540049]",[0.22513221 0.31618382 0.5256917  0.21476344],[10.86005306 12.66497612 11.36333561  9.94180584],[0.7        0.95488171 0.88187341 0.7       ],[12.22725017 12.66497612 11.3634946  11.72820331],[ 8.68804245 12.66497612 11.36333561  7.95344467],[ 9.74980477 12.66497612 11.36335439  9.08587226],[1.75886796 1.03047352 3.59833998 5.66112245]
02240954,0.18729763387297635,19.794428,0.999,19.795412246669244,19.7944278717041,19.79541126229428,2.1362110209031573,"[0.26612903 0.27916331 0.26539589 0.21287879 0.23313783 0.51363636
 0.55791789 0.57624633 0.41666667 0.23387097 0.21969697 0.23503326]","[10.77573586 10.98721123 13.83133507 11.97672939 11.32024956 13.24600124
 10.83122921 10.86926842 11.43605328  9.9584856   9.04619598 10.56836128]","[0.74135684 0.84465502 0.80432576 0.75609738 0.99       0.72642891
 0.99       0.9088415  0.70127761 0.72552676 0.7        0.7       ]","[11.51749313 10.98721123 14.35505122 13.06552297 11.32024956 14.20274692
 10.83122921 10.86926842 12.76118855 11.45764479 10.09758272 12.19240412]","[ 8.62058868  8.78976898 11.06506805  9.58138351  9.05619965 10.59680099
 10.83122921 10.86926842  9.14884262  7.96678848  7.23695679  8.63552484]","[ 9.3698532   9.1311306  11.70883302 10.43117425  9.07884015 11.58328355
 10.83122921 10.86926842 10.22793124  8.92493512  8.09514457  9.70258862]","[1.53386226 2.83879125 3.14380715 3.70406295 0.91660594 3.89277603
 2.45128658 1.40417354 9.02796314 3.83525685 2.82804119 5.96272699]",[0.26995719 0.31893107 0.5180336  0.22962596],[11.87602425 12.48714924 11.00412083  9.88230038],[0.71739685 0.7        0.80797895 0.70024501],[13.15721539 13.62278029 11.39435141 11.17321514],[9.5008194  9.98971939 8.80329666 7.9058583 ],[10.53412842 11.07963766  9.30083371  8.88526483],[1.92942914 2.88240406 4.54363352 4.12392745]
02240902,0.19539227895392278,18.579884,0.9970940965668094,18.579883575439453,0.2973507115294441,18.526756300422797,1.8137144038354698,"[0.28079179 0.29123089 0.27272727 0.23106061 0.25806452 0.53939394
 0.60483871 0.61510264 0.45151515 0.25659824 0.23863636 0.24833703]","[ 9.79971027 10.34981251 13.13146877 11.0658617  10.45765114 12.0838213
  9.74311066  9.74930382 10.87402439  8.82649994  8.33979034  9.91543865]","[0.7        0.71184509 0.70952824 0.75623906 0.72075044 0.76158161
 0.73011671 0.81125439 0.7        0.7        0.7        0.7       ]","[10.99662144 11.83203239 14.99889944 12.43408785 11.36448069 13.11618507
  9.74327242  9.74930382 12.2680403   9.95670396  9.69077569 10.93730414]","[ 7.83976822  8.27985001 10.50517502  8.85268936  8.36612091  9.66705704
  9.74311066  9.74930382  8.69921951  7.06119995  6.67183228  7.93235092]","[ 8.78682418  9.30342881 11.81047508  9.72569442  9.20341157 10.48939259
  9.74315431  9.74930382  9.76986575  7.92985115  7.5775153   8.83383689]","[1.89765939 2.38499736 1.75692616 3.32045757 0.65502006 4.93860827
 1.87030876 0.9194789  8.59450678 3.9625625  2.60658453 5.56874329]",[0.28128935 0.34190809 0.5583004  0.2479564 ],[11.08758068 11.43890572 10.04365063  9.03885651],[0.7 0.7 0.7 0.7],[12.2778539  12.33430944 10.73739723 10.35868519],[8.87006454 9.15112457 8.05710453 7.23108521],[ 9.89240135 10.10608003  8.86119234  8.1693652 ],[1.95702469 3.65725814 4.30096235 3.78839589]
02231342,0.21149695899548754,18.78524,0.9494849129840366,19.550589376438317,0.20416863004406494,18.57330324898677,5.638795525648159,"[0.23826979 0.23491553 0.23167155 0.22348485 0.26539589 0.53030303
 0.52492669 0.54252199 0.52272727 0.33577713 0.26969697 0.23651146]","[ 7.85432243  9.77981663 12.27202225 11.03482819 12.43562794 13.71550179
 11.53033924 11.7169857  12.2666893  11.25582695  8.70056057  8.04656029]","[0.7        0.7278682  0.7        0.83588578 0.7        0.99
 0.9899905  0.7        0.7        0.7        0.7        0.70000011]","[ 8.92737658 11.28468777 13.55898992 11.03494396 13.15746541 13.71550179
 11.53033924 11.7169857  13.27831204 12.79970336 10.83820743  9.55368606]","[ 6.28345795  7.8238533   9.81763974 11.03482819 10.36193558 13.71550179
 11.50757792 11.7169857   9.81335144  9.00466156  6.96044846  6.43724823]","[ 7.07663354  8.76565643 10.94004479 11.03484719 11.20059453 13.71550179
 11.50780575 11.7169857  10.85283962 10.1431741   8.12377615  7.37217925]","[2.73864105 3.97839451 2.68807781 1.07908733 4.891072   2.22058807
 1.8140741  4.58579678 3.56026299 2.99580976 6.01837039 3.75552695]",[0.23495341 0.33891109 0.53013834 0.28090166],[ 9.95318508 12.79132175 11.83145714  9.54803181],[0.70000008 0.99       0.90893271 0.7       ],[11.30870556 12.79132175 11.83145714 10.98760688],[ 7.9625492  12.79132175 11.83145714  7.63842545],[ 8.96639584 12.79132175 11.83145714  8.64317988],[2.73962106 2.14029872 3.19315274 4.12171399]
02231396,0.22678734872368556,17.921873,0.9114076267609911,19.55211928889177,0.46645644836396427,17.861275123009847,3.282247987764377,"[0.26686217 0.25341915 0.24486804 0.24090909 0.29985337 0.57727273
 0.59237537 0.61656891 0.56893939 0.37609971 0.3030303  0.27864006]","[ 7.1578598   8.81894875 11.24751472 10.05605984 10.24768353 12.25601292
 10.24458981 10.50181293 11.31728745  9.34825039  7.65985584  7.07055712]","[0.7        0.7        0.7        0.99       0.7        0.70000006
 0.70000002 0.95503772 0.7        0.7        0.7        0.7       ]","[ 9.29519322 10.5821267  13.13665965 10.05605984 11.64540118 12.25601292
 10.24459225 10.52743409 12.38177864 10.60638835  9.38839268  8.30347255]","[ 5.72629527  7.055159    8.99801178  8.04484787  8.2296495  12.25601292
 10.24458981  8.40145035  9.05382996  7.47860031  6.12788467  5.65644569]","[ 6.79696466  8.11324931 10.23960614  8.06495999  9.25437501 12.25601292
 10.24459054  8.49703942 10.05221456  8.41693672  7.10603708  6.45055375]","[2.12319943 1.69315274 2.09904834 1.09113094 2.0268527  1.96942409
 1.81666763 4.75125614 3.40525541 5.60517843 6.22262161 3.4574591 ]",[0.25509947 0.37187812 0.59288538 0.31954422],[ 9.02280331 11.23452759 10.67039108  8.15906525],[0.7  0.7  0.99 0.7 ],[10.24642962 11.23452759 10.67039108  9.58382022],[ 7.21824265 11.23452759  9.08907472  6.5272522 ],[ 8.12669874 11.23452759  9.10488788  7.4442226 ],[2.27641785 1.13418939 3.18896303 4.93271095]
02231454,0.2018011394964161,20.41201,0.9640181132045037,21.205173473703642,0.36764911520387744,20.455400031137707,3.3958686360850865,"[0.24340176 0.23411102 0.228739   0.21439394 0.26832845 0.5030303
 0.49120235 0.53005865 0.51590909 0.35043988 0.27727273 0.25498891]","[ 8.44609547  9.90829563 12.60676575 11.57309723 12.285079   13.59413528
 12.04963875 11.85823631 12.97178459 11.65481091 10.3000946   8.84183311]","[0.72549707 0.7        0.70961341 0.7        0.73177234 0.81617274
 0.7        0.99       0.7        0.7046299  0.7        0.7       ]","[ 9.19366454 10.71843113 13.57125942 11.57373724 12.92865201 13.59413528
 12.04963875 11.85891932 14.47770523 13.0846943  12.26882726 10.19274819]","[ 6.75707395  7.92663651 10.53462265 11.57309723  9.92892317 13.59413528
 12.04963875 10.81665332 10.44435908  9.32384872  8.24007568  7.07346649]","[ 7.42592521  8.76417489 11.41642125 11.57328923 10.73353341 13.59413528
 12.04963875 10.82707598 11.65436293 10.43469007  9.44870116  8.009251  ]","[2.28392896 0.97028489 4.02297841 1.53457326 2.56617545 1.33174643
 2.50666966 5.47930389 5.00071464 6.70072088 8.76926128 3.48736502]",[0.23545706 0.32792208 0.51235178 0.29452564],[10.28954887 12.79362583 12.28570271 10.42158794],[0.82305889 0.7        0.99       0.7       ],[10.70779356 12.79362583 12.28570271 12.00288612],[ 8.2316391  12.79362583 11.22388957  8.33727036],[ 8.66977261 12.79362583 11.2345077   9.43695509],[2.68455513 1.14229837 4.03447208 6.402336  ]
02231458,0.18440463645943098,22.00157,0.9913140630518125,22.14604001911361,0.23080554254417487,21.95568567424538,3.578433446373897,"[0.23387097 0.22687047 0.22580645 0.21212121 0.2558651  0.49393939
 0.48533724 0.53665689 0.50151515 0.33651026 0.26515152 0.24168514]","[ 8.8100462   9.94108105 12.82112122 11.52245903 12.7868576  13.97622585
 12.42747593 12.18591118 13.1867466  11.72237301 10.41971493  9.20522404]","[0.7        0.94649487 0.74455187 0.7        0.80888495 0.7
 0.7        0.7        0.7        0.77301331 0.7        0.70000101]","[ 9.96242236  9.99919295 13.50838909 11.52245903 12.7868576  13.97622585
 12.42747593 12.69814069 14.27991284 12.72358563 12.23354958 10.93128237]","[ 7.04803696  7.95286484 10.36451259 11.52245903 12.78659077 13.97622585
 12.42747593 10.6825004  10.54939728  9.37789841  8.33577194  7.36417923]","[ 7.92235258  8.0623539  11.16760996 11.52245903 12.78664177 13.97622585
 12.42747593 11.28719249 11.66855195 10.13732489  9.50510523  8.43430656]","[1.98212495 0.86900831 2.43157415 1.55646839 2.37104634 2.35391779
 2.93941623 5.15189728 4.45197577 6.41147859 7.6279604  2.77806329]",[0.22890959 0.31993007 0.50790514 0.28139708],[10.52001476 13.11584854 12.58594418 10.59645939],[0.7        0.81715334 0.99       0.7       ],[11.70178362 13.11584854 12.58594418 12.12908107],[ 8.41601181 13.11584854 12.58594418  8.47716751],[ 9.40174335 13.11584854 12.58594418  9.57274158],[1.49337904 1.60899964 3.72455056 5.61537065]
02231600,0.24101479915433405,16.719398,0.9095950291723786,18.147535081293356,0.3079780945647301,16.534750452330464,4.786175281365132,"[0.28372434 0.29042639 0.27272727 0.26666667 0.31671554 0.62575758
 0.65982405 0.6898827  0.61666667 0.39882698 0.33484848 0.29933481]","[ 7.05285597  7.77133226  9.98359585  8.9911871   9.7595377  10.80803013
  9.34123325  9.54336548 10.56264877  8.20652103  7.18890095  7.09458113]","[0.7        0.70747791 0.7        0.7        0.7207363  0.88617618
 0.94149382 0.72155059 0.7        0.80048181 0.7        0.7       ]","[ 7.64860842  8.74420686 11.48648694  9.83253675 11.30519692 10.80803013
  9.34123325 10.374676   12.08015847  8.77164736  8.8502638   8.39921037]","[ 5.64228477  6.21706581  7.98687668  7.19294968  7.80763016 10.80782588
  9.34123325  7.63469238  8.45011902  6.56521683  5.75112076  5.6756649 ]","[ 6.24418187  6.95631039  9.03675976  7.9848258   8.78437359 10.80784913
  9.34123325  8.3976392   9.53913086  7.00543985  6.68086367  6.49272854]","[3.39039555 2.2703556  2.70802577 1.65578551 2.60098574 0.67420323
 1.18807836 4.98092933 5.61709974 6.0868892  6.18770744 4.22117826]",[0.28204482 0.4020979  0.65587945 0.34456279],[ 8.25786018 10.12947178  9.7873497   7.55941534],[0.7        0.7        0.78373211 0.7       ],[ 9.53598824 11.43449304 10.23480345  8.93160948],[6.60628815 8.10357742 7.82987976 6.04753227],[7.48519818 9.10285211 8.34998754 6.91275544],[2.573236   0.72885501 4.16270431 5.2189942 ]
02232155,0.19919908466819222,19.962208,0.9678332039270084,19.962207794189453,0.893624235427432,19.348832555453953,5.501525412910562,"[0.23167155 0.22284795 0.2170088  0.20606061 0.24046921 0.48712121
 0.50219941 0.521261   0.47121212 0.31744868 0.25833333 0.22690318]","[ 8.26083279 10.52157307 12.25358868 11.13964653 12.6956892  13.26322365
 12.18183613 12.26526356 14.54191971 11.59823895  9.45958519  9.58053398]","[0.7        0.7        0.7        0.7        0.95014165 0.99
 0.99       0.9        0.7        0.70387717 0.7        0.7       ]","[ 9.3962634  11.36897884 13.45970314 12.04725759 12.79060108 13.26322365
 12.18183613 12.26526356 16.05199899 13.08407473 10.72481773 10.85949825]","[ 6.60866623  8.41725845  9.80287094  8.91171722 10.15655136 13.26322365
 12.18183613 11.68120339 11.63353577  9.27859116  7.56766815  7.66442719]","[ 7.44494538  9.30277457 10.8999206   9.85237933 10.28788074 13.26322365
 12.18183613 11.7396094  12.95907473 10.40548173  8.51481302  8.62294851]","[1.61411119 1.59799977 1.89632802 3.330375   2.39164987 2.49553488
 2.52980228 6.22790738 6.85935829 5.78748472 5.56452562 4.00293541]",[0.22387308 0.31043956 0.49851779 0.2677731 ],[10.2946701  12.64877224 12.9386692  10.35058308],[0.74633178 0.7        0.99       0.7       ],[10.97394347 12.64877224 12.9386692  11.69684306],[ 8.23573608 12.64877224 11.7857019   8.28046646],[ 8.93033229 12.64877224 11.79723157  9.30537944],[1.82685601 1.47402188 5.24866672 4.81037071]
